id,region,segment,pricing_model,price_disclosed,has_extra_fees,trial_offered,audited
V001,الخليج,شركات ومصانع صغيرة ومتوسطة في مصر والسعودية؛ يقدّم وحدة «تطب,حسب الطلب,معلن,False,False,False
V002,أخرى,موزّعو خطوط السير: مياه معبّأة، غاز وسلع صناعية، مغاسل، أغذي,حسب الطلب,مخفيّ,False,False,False
V003,الخليج,محلات وشركات مصرية صغيرة ومتوسطة بمبيعات يومية ومخازن ونقاط ,رخصة لمرّة واحدة,مخفيّ,False,True,False
V004,الخليج,شركات التوزيع والجملة والتجزئة والمصانع المتوسطة في السعودية,أخرى,معلن,False,True,False
V005,الخليج,,حسب الطلب,مخفيّ,False,False,False
V006,أمريكا الشمالية,مشغّلو المطاعم والموزّعون في خدمات الأغذية بأمريكا الشمالية ,حسب الطلب,مخفيّ,False,False,False
V007,أوروبا,,لكل مستخدم,معلن,False,True,False
V008,أمريكا الشمالية,شركات صغيرة ومتوسطة تريد CRM + مشاريع + اتصال داخلي بسعر ثاب,لكل شركة,معلن,True,True,True
V009,أمريكا الشمالية,موزّعو وتجّار الجملة الصغار والمتوسطون في أمريكا الشمالية,حسب الطلب,معلن,False,True,False
V010,أخرى,موزّعو DSD والبيع من الشاحنة — من مندوب واحد إلى مئات المسار,أخرى,معلن,True,False,False
V011,أمريكا الشمالية,,أخرى,مخفيّ,False,True,False
V012,الخليج,شركات البيع والتوزيع المتنقّل المحترفة في السعودية (صفحة عرب,حسب الطلب,مخفيّ,False,False,False
V013,أخرى,سلاسل التجزئة المتوسطة والمؤسسية المُدارة من مقر واحد,حسب الطلب,مخفيّ,False,False,False
V014,الخليج,شركات صغيرة ومتوسطة عربية تريد ERP سحابياً شاملاً بسعر منخفض,لكل مستخدم,معلن,True,True,True
V015,أمريكا الشمالية,مصنّعو وموزّعو الكيماويات والبلاستيك؛ شركات من مليون إلى أكث,لكل مستخدم,معلن,True,False,False
V016,مصر,موزّعون ومصنّعون صغار ومتوسطون في FMCG,لكل مستخدم,معلن,True,True,True
V017,الخليج,محلات وشركات تجارية ومصانع وتوريدات صغيرة ومتوسطة,رخصة لمرّة واحدة,معلن,True,True,False
V018,أوروبا,,لكل مستخدم,معلن,False,True,False
V019,الهند,شركات متوسطة وكبيرة تريد ERP كاملاً تكون SFA وحدةً فيه,حسب الطلب,مخفيّ,False,False,False
V020,مصر,شركات صغيرة ومتوسطة مصرية تحتاج حسابات ومخازن ومبيعات وPOS س,لكل مستخدم,معلن,False,False,False
V021,الخليج,شركات صغيرة ومتوسطة خليجية: تجارة وتصنيع ومقاولات وخدمات,لكل مستخدم,معلن,False,False,False
V022,الخليج,,لكل مستخدم,معلن,True,True,True
V023,أمريكا الشمالية,,لكل مستخدم,معلن,False,True,False
V024,الخليج,,لكل شركة,معلن,False,False,False
V025,الخليج,,أخرى,مخفيّ,False,False,False
V026,الخليج,,لكل شركة,مخفيّ,False,False,False
V027,الخليج,فرق مبيعات متنقّلة وأساطيل بيع في الشرق الأوسط والهند — تغطي,حسب الطلب,مخفيّ,False,False,False
V028,أخرى,موزّعو DSD الصغار والمتوسطون — أغذية ومشروبات وسلع استهلاكية,حسب الطلب,مخفيّ,False,False,False
V029,الخليج,,حسب الطلب,مخفيّ,False,False,False
V030,أمريكا الشمالية,,لكل شركة,معلن,False,False,False
V031,الخليج,,مجاني/فريميوم,معلن,False,True,False
V032,الهند,فرق ميدانية في الأدوية وتوزيع السلع الاستهلاكية والبنوك — من,لكل مستخدم,معلن,True,True,False
V033,الخليج,,أخرى,مخفيّ,True,True,False
V034,أخرى,,لكل شركة,معلن,True,True,False
V035,الخليج,شركات التوزيع والمواد الغذائية السعودية، من مندوب واحد إلى ف,لكل مستخدم,معلن,True,False,True
V036,الخليج,"شركات سعودية صغيرة ومتوسطة متعددة القطاعات (+1,000 منشأة باد",لكل شركة,معلن,False,True,False
V037,الهند,موزّعون ومصنّعون هنود في FMCG والأدوية والتجزئة,لكل مستخدم,معلن,False,False,False
V038,الخليج,شركات متوسطة وكبيرة تقبل بمشروع تنفيذ وميزانية تخصيص,لكل مستخدم,معلن,True,True,True
V039,الخليج,,لكل مستخدم,معلن,False,True,False
V040,أمريكا الشمالية,شركات التوصيل عند الطلب: بقالة، صيدليات، تجزئة، طرود,لكل شركة,معلن,False,True,False
V041,أفريقيا,موزّعون وتجّار جملة ومصنّعون صغار ومتوسطون بمناديب ميدانيين ,لكل مستخدم,معلن,True,True,True
V042,الخليج,المؤسسات الكبيرة متعددة الفروع وشركات التوزيع والصناعة,حسب الطلب,معلن,False,True,False
V043,الخليج,,لكل شركة,معلن,False,False,False
V044,أخرى,"شركات التوزيع والمبيعات المغربية (+200 مؤسسة، +5,000 مندوب م",حسب الطلب,مخفيّ,False,False,False
V045,الخليج,,حسب الطلب,مخفيّ,True,False,False
V046,أوروبا,شركات التوزيع العربية بفرق ميدانية؛ ضمن منظومة أوسع (محاسبة/,حسب الطلب,مخفيّ,False,False,False
V047,أخرى,شركات التوزيع والتجارة الجزائرية المحتاجة DSD وقوة بيع ميدان,حسب الطلب,مخفيّ,False,False,False
V048,الخليج,شركات سعودية صغيرة ومتوسطة تريد محاسبة معتمدة من ZATCA؛ 1–5 ,لكل شركة,معلن,True,True,True
V049,أمريكا الشمالية,مصنّعون ومستودعات (DuPont، Bridgestone، General Dynamics),حسب الطلب,مخفيّ,False,False,False
V050,الهند,,حسب الطلب,مخفيّ,False,False,False
V051,الخليج,,لكل شركة,معلن,True,False,False
V052,أمريكا الشمالية,أساطيل التوصيل والخدمة الميدانية عالمياً — محرّك تخطيط مسارا,لكل مستخدم,معلن,True,True,False
V053,أمريكا الشمالية,أساطيل التوصيل والخدمات الميدانية من 4 مركبات فأكثر,أخرى,معلن,True,False,False
V054,الخليج,المحلات والمخازن الصغيرة جداً التي تريد أرخص طريق للامتثال ل,لكل جهاز,معلن,False,True,False
V055,الهند,شركات FMCG والتجزئة والأدوية الصغيرة والمتوسطة في الهند,لكل مستخدم,معلن,False,True,False
V056,أمريكا الشمالية,فرق البيع من باب لباب: طاقة شمسية، تسقيف، مكافحة حشرات، أليا,لكل مستخدم,معلن,False,False,True
V057,تركيا,,رخصة لمرّة واحدة,جزئيّ,False,True,False
V058,الخليج,,حسب الطلب,مخفيّ,True,False,False
